sequence,project_id,pr_number,pull_request_id,requirement_id,requirement_revision_id,review_id,status,decision,end_to_end_ms,provider_latency_ms,embedding_calls,review_calls,prompt_tokens,completion_tokens,total_tokens,coverage_files,not_reviewed_files,truncated_files,coverage_truncated,ac_covered,ac_at_risk,ac_not_found,findings,requirement_findings,code_quality_findings,requirement_gap_findings,security_findings,api_contract_findings,correctness_findings,high_confidence_findings,medium_confidence_findings,head_match,fingerprint_match,current_revision_match,snapshot_head_match,snapshot_fingerprint_match,snapshot_revision_match,all_ai_calls_success,engine,prompt_version,model
1,1,7,2,3,19,17,COMPLETED,PENDING,69763.943,69469,1,2,7199,3566,10765,2,0,0,false,1,3,1,4,4,0,4,0,0,0,4,0,true,true,true,true,true,true,true,forgepilot-review,review-2,gpt-5.6-luna
2,1,8,3,4,20,18,COMPLETED,PENDING,67142.792,66918,1,2,6741,3426,10167,2,0,0,false,1,3,0,3,3,0,1,1,0,1,2,1,true,true,true,true,true,true,true,forgepilot-review,review-2,gpt-5.6-luna
3,1,9,4,5,21,19,COMPLETED,PENDING,88841.746,88650,1,2,7062,2999,10061,2,0,0,false,0,4,0,5,5,0,2,3,0,0,5,0,true,true,true,true,true,true,true,forgepilot-review,review-2,gpt-5.6-luna
4,1,10,5,6,22,20,COMPLETED,PENDING,65729.828,65596,1,2,7268,3465,10733,2,0,0,false,0,5,0,5,5,0,5,0,0,0,5,0,true,true,true,true,true,true,true,forgepilot-review,review-2,gpt-5.6-luna
5,1,11,6,7,23,21,COMPLETED,PENDING,69090.032,68940,1,2,6690,2268,8958,2,0,0,false,0,3,1,4,4,0,4,0,0,0,4,0,true,true,true,true,true,true,true,forgepilot-review,review-2,gpt-5.6-luna
6,2,1,7,8,24,22,COMPLETED,PENDING,55872.860,55742,1,2,6584,1736,8320,2,0,0,false,0,2,2,1,1,0,1,0,0,0,1,0,true,true,true,true,true,true,true,forgepilot-review,review-2,gpt-5.6-luna
7,2,2,8,9,25,23,COMPLETED,PENDING,52336.614,52213,1,2,6351,1828,8179,2,0,0,false,0,1,3,2,2,0,2,0,0,0,2,0,true,true,true,true,true,true,true,forgepilot-review,review-2,gpt-5.6-luna
8,2,3,9,10,26,24,COMPLETED,PENDING,147404.631,147288,1,2,6512,3215,9727,2,0,0,false,0,4,1,6,5,1,5,1,0,0,6,0,true,true,true,true,true,true,true,forgepilot-review,review-2,gpt-5.6-luna
9,2,4,10,11,27,25,COMPLETED,PENDING,120241.528,120065,1,2,6827,3287,10114,2,0,0,false,0,4,1,5,5,0,1,4,0,0,2,3,true,true,true,true,true,true,true,forgepilot-review,review-2,gpt-5.6-luna
10,2,5,11,12,28,26,COMPLETED,PENDING,100688.825,100505,1,2,6631,2644,9275,2,0,0,false,0,3,1,3,3,0,3,0,0,0,3,0,true,true,true,true,true,true,true,forgepilot-review,review-2,gpt-5.6-luna
11,3,1,12,13,29,27,COMPLETED,PENDING,72820.207,72704,1,2,7315,2016,9331,2,0,0,false,0,2,3,2,2,0,2,0,0,0,2,0,true,true,true,true,true,true,true,forgepilot-review,review-2,gpt-5.6-luna
12,3,2,13,14,30,28,COMPLETED,PENDING,124325.444,124142,1,2,7209,2710,9919,2,0,0,false,0,1,3,4,4,0,4,0,0,0,4,0,true,true,true,true,true,true,true,forgepilot-review,review-2,gpt-5.6-luna
13,3,3,14,15,31,29,COMPLETED,PENDING,79192.766,79080,1,2,7021,2143,9164,2,0,0,false,0,0,4,4,4,0,4,0,0,0,4,0,true,true,true,true,true,true,true,forgepilot-review,review-2,gpt-5.6-luna
14,3,4,15,16,32,30,COMPLETED,PENDING,117070.129,116949,1,2,6872,2215,9087,2,0,0,false,1,3,0,3,3,0,1,1,1,0,3,0,true,true,true,true,true,true,true,forgepilot-review,review-2,gpt-5.6-luna
15,3,5,16,17,33,31,COMPLETED,PENDING,102957.332,102846,1,2,7042,2159,9201,2,0,0,false,0,3,1,4,4,0,4,0,0,0,4,0,true,true,true,true,true,true,true,forgepilot-review,review-2,gpt-5.6-luna
